on x=-13..37,y=-36..14,z=-3..45
on x=-1..43,y=-15..32,z=-35..15
on x=-7..44,y=-6..48,z=-13..38
on x=-42..3,y=-42..10,z=-3..44
on x=-34..13,y=-27..27,z=-31..23
on x=-14..39,y=-34..10,z=-40..10
on x=-12..34,y=-25..19,z=-32..15
on x=-47..6,y=-29..20,z=-45..9
on x=-37..16,y=-17..34,z=-25..29
on x=-28..20,y=-19..34,z=-3..47
off x=1..19,y=-30..-14,z=19..33
on x=-34..19,y=-22..25,z=-17..35
off x=-49..-32,y=-26..-13,z=19..38
on x=-28..25,y=-46..2,z=-11..43
off x=-30..-21,y=-44..-26,z=6..21
on x=-20..31,y=-39..11,z=-23..28
off x=33..49,y=29..47,z=8..25
on x=-28..25,y=-26..20,z=-49..-1
off x=-19..-5,y=3..18,z=-44..-27
on x=-34..15,y=-29..25,z=-34..17
on x=-77707..-66888,y=-15495..7977,z=21658..44356
on x=16734..33844,y=-90735..-54900,z=2270..19264
on x=37676..47017,y=-53726..-31603,z=-58485..-51594
on x=-25500..-16563,y=-6468..2463,z=69232..89880
on x=-35872..-12957,y=-84461..-60975,z=-20007..-9532
on x=-89647..-67921,y=-39059..-13640,z=-42281..-6574
on x=47838..82298,y=-43677..-35749,z=9027..31549
on x=-9400..11474,y=-39127..-21505,z=57808..89970
on x=61666..80803,y=10083..24758,z=37048..46860
on x=26068..46741,y=-77898..-58561,z=-30238..62
on x=-22689..-13065,y=-81029..-64591,z=-21055..3749
on x=38030..60209,y=-34391..-15028,z=-55983..-51628
on x=42982..62845,y=-54347..-47689,z=15630..45725
on x=-18872..11038,y=-76016..-52462,z=-42387..-37005
on x=-55695..-38898,y=36001..55982,z=-70788..-36425
on x=-7131..26336,y=42833..63923,z=-64129..-45423
on x=-60488..-40325,y=-47405..-31877,z=48181..58567
on x=-13302..15801,y=73748..92138,z=-34147..-17494
on x=31153..53512,y=41173..61390,z=38591..49656
on x=-35709..-8667,y=-34876..536,z=-79524..-59100
on x=45731..73067,y=50149..54110,z=-34129..-20399
on x=2923..23025,y=53277..82004,z=30350..45240
on x=-34895..-14927,y=27451..50766,z=-67502..-59363
on x=-8366..10206,y=22907..37139,z=70976..78784
on x=26000..31619,y=55905..81695,z=28039..45741
on x=-27099..342,y=70224..85805,z=-6497..11011
on x=-1601..9361,y=-40465..-9946,z=64120..76194
on x=-29110..-17895,y=38967..50663,z=56746..78592
on x=-77526..-50930,y=-60463..-42672,z=-16932..667
on x=-19801..1121,y=-95369..-68521,z=-2863..7840
on x=-56034..-34754,y=-4651..19561,z=61780..87310
on x=50357..81377,y=-54480..-35226,z=-13214..22298
on x=-37854..-29487,y=-24307..-9466,z=-70318..-65828
on x=-87626..-68588,y=-1140..28963,z=23659..43617
on x=10140..45670,y=19441..48501,z=52468..67612
on x=-61161..-46395,y=50168..60300,z=-43642..-22240
on x=-41791..-23146,y=59820..92015,z=-30219..-13117
on x=51416..66401,y=21581..26160,z=36042..66562
on x=43985..71278,y=-76853..-47487,z=10319..33057
on x=16554..44446,y=-83467..-49432,z=27702..46302
on x=-40078..-32697,y=-19712..13098,z=-79179..-70318
on x=-72544..-48748,y=-24529..-10822,z=25757..62217
on x=-49848..-23893,y=49735..70928,z=-17843..4166
on x=46504..62954,y=-63451..-39706,z=-7060..12582
on x=-18091..5639,y=-80367..-60849,z=20700..28381
on x=-70298..-58521,y=-36254..-16840,z=39462..58760
on x=-57895..-36812,y=-80262..-60063,z=17594..35827
on x=66005..74563,y=-40697..-10634,z=-28571..-12651
on x=-34740..-12979,y=14459..27693,z=72315..83610
on x=-54526..-27860,y=20919..36223,z=53916..69317
on x=5482..28204,y=-72328..-47181,z=36101..68864
on x=-10361..18618,y=50680..80016,z=29881..52293
on x=22013..53090,y=61184..77888,z=-690..15445
on x=49878..80860,y=-45597..-24600,z=8773..42131
on x=-21481..-2534,y=-52590..-35874,z=59304..71419
on x=-27491..-2116,y=-57213..-37184,z=35989..58007
on x=-27046..-11339,y=-93198..-69701,z=2894..23463
on x=-49531..-33827,y=-71407..-54183,z=28280..48597
on x=2360..31991,y=25158..56562,z=-80620..-60755
on x=-26128..-998,y=-62930..-52635,z=35279..63815
on x=48650..66941,y=-61055..-28617,z=29166..31637
on x=69844..85996,y=-22985..-2275,z=21553..38166
on x=2845..20505,y=49897..61909,z=53069..67906
on x=-28415..-3203,y=57533..73503,z=21661..31210
on x=8443..20885,y=34174..61857,z=57794..68245
on x=12152..42225,y=17448..37654,z=50480..71531
on x=57295..73077,y=-41599..-9861,z=-67808..-36322
on x=-39269..-26154,y=-14375..14800,z=71243..78784
on x=10757..31258,y=-62179..-38241,z=-79093..-48669
on x=-30816..-13772,y=31105..43599,z=56286..80856
on x=-81989..-50706,y=-30815..-14580,z=18775..44958
on x=40071..59419,y=44624..61873,z=29016..50450
on x=40251..59324,y=-67414..-49803,z=-36761..-11231
on x=27417..46406,y=-66475..-47513,z=-25177..-11900
on x=-65899..-38890,y=-12430..5965,z=57577..63876
on x=-25267..-2876,y=-44000..-32310,z=-80593..-53949
on x=-18326..-7876,y=43132..66145,z=-66613..-36605
on x=-57018..-53229,y=36751..59783,z=-30079..-9617
on x=-66290..-47772,y=-31894..-1002,z=33540..57723
on x=-125..24382,y=-80848..-72343,z=-49693..-15529
on x=-24015..-2898,y=-53625..-39125,z=55225..73628
on x=51897..80923,y=-4054..3520,z=-45412..-36746
on x=-30093..-1431,y=34246..47381,z=-75270..-59132
on x=31766..51586,y=48710..67006,z=39768..49335
on x=-20923..6424,y=1580..14928,z=-89071..-61335
on x=-78388..-68973,y=2726..15396,z=31839..51487
on x=-17101..1916,y=-31904..-18696,z=62499..86196
on x=60981..74827,y=-33558..-6318,z=17172..47217
on x=-3097..3774,y=74123..95012,z=-15851..19259
on x=-29901..-26536,y=-5670..9081,z=62581..77681
on x=-23676..-6641,y=-87054..-60450,z=6151..27241
on x=-75546..-60657,y=-46787..-18586,z=6164..28899
on x=-62447..-45293,y=-55081..-38324,z=-45488..-36816
on x=-35053..-11420,y=-78994..-73796,z=-27546..-2495
on x=14791..35832,y=8044..17682,z=-75881..-70257
on x=37114..54311,y=-62857..-40402,z=42866..62581
on x=-78891..-57261,y=-19933..2380,z=-46848..-34329
on x=-40885..-31987,y=56185..85808,z=-12714..14124
on x=-22584..-1227,y=62080..69853,z=31132..43774
on x=21369..37041,y=-29949..1877,z=-84346..-70161
on x=-32994..-11854,y=-23931..-13655,z=68474..75824
on x=28950..44900,y=37331..65913,z=-53762..-21514
on x=14251..32416,y=-59808..-39089,z=-69466..-54177
on x=-1001..11349,y=-91855..-70109,z=-20491..-5599
on x=-55376..-22523,y=26566..45387,z=53177..76643
on x=5773..21346,y=-24068..-6968,z=63947..88583
on x=-61909..-45698,y=56099..78327,z=-6552..20928
on x=-91524..-56986,y=-1853..11970,z=13238..33401
on x=65923..82086,y=-3320..28990,z=2252..31777
on x=-49874..-21418,y=3494..29323,z=-69436..-64723
on x=73184..89417,y=-42741..-7654,z=2716..14770
on x=-19543..5754,y=-45523..-35685,z=-69929..-58853
on x=20033..44221,y=-84229..-57579,z=-8712..5719
on x=-91462..-67462,y=4054..26833,z=-39415..-13802
on x=27732..50763,y=-58005..-35512,z=-66011..-34072
on x=27133..51350,y=45426..71070,z=-8192..-4652
on x=32748..56378,y=-70321..-50194,z=26633..50320
on x=-79635..-59790,y=-1252..13376,z=19282..37497
on x=63307..93679,y=7073..20800,z=1161..28560
on x=-36145..-14630,y=-37537..-21452,z=56070..76078
on x=30686..50529,y=-67131..-36989,z=35265..66047
on x=-15752..-11751,y=59850..88935,z=18731..42395
on x=38283..60807,y=51015..57433,z=-40995..-25599
on x=-28800..-5978,y=73498..82844,z=-33104..-12502
on x=38063..67439,y=-35709..-20195,z=-53965..-32238
on x=-68345..-50452,y=8456..26579,z=30921..48065
on x=-32241..-19903,y=41696..65189,z=51000..65538
on x=36262..42472,y=-64295..-31497,z=-60784..-48215
on x=-19510..-110,y=31699..54917,z=-67629..-53476
on x=-62256..-40043,y=-35060..-34579,z=-70111..-50680
on x=-39707..-23353,y=-19810..6512,z=-87108..-53181
on x=-82176..-51976,y=-50348..-40880,z=-33910..-14246
on x=-83924..-70902,y=-19175..2985,z=-15384..15455
on x=49316..72497,y=425..6060,z=52206..70825
on x=-83699..-57057,y=-27150..-4795,z=22540..29041
on x=-3101..12001,y=68638..91778,z=-40657..-29719
on x=2252..24442,y=34848..55848,z=-75998..-48307
on x=-5069..16361,y=-20661..-2439,z=65914..86332
on x=-57402..-38222,y=-69446..-40489,z=-54314..-29224
on x=-13242..408,y=68201..84940,z=-45871..-38004
on x=56749..63913,y=-8638..3672,z=47720..62702
on x=54011..76285,y=-62270..-39823,z=-22993..-14872
on x=58382..77062,y=-20697..-7882,z=46625..52172
on x=-47219..-11653,y=26546..45116,z=-73892..-62298
on x=52120..73926,y=32675..54357,z=-45806..-32181
on x=-11456..-3541,y=-68839..-41789,z=45637..76793
on x=-45992..-25163,y=70590..94451,z=-3611..27080
on x=-77343..-54249,y=25725..46466,z=-7443..1553
on x=53624..60939,y=16322..19384,z=-60689..-54993
on x=-62023..-51180,y=-11378..-249,z=-60785..-36599
on x=51752..62523,y=-55025..-48761,z=-35067..-13224
